type,id,name,username,authors,upvotes,downvotes,favorites
bhr,9048,A Trip to the Woods ,max007x,"[""max007x""]",23,0,18
bhr,9282,Haven ft. CityShep,mR..A,"[""mR..A""]",17,2,13
bhr,9378,Unconquered Isles,codrey,"[""codrey""]",12,0,8
bhr,9456,Aww :(,pssst la flare,"[""pssst la flare""]",5,7,1
bhr,9736,Magnum Opus,max007x,"[""max007x""]",32,2,33
bhr,9908,Monker Collab 2015,Redemption,"[""Redemption""]",7,3,7
bhr,10140,Carvahall,codrey,"[""codrey""]",6,0,2
bhr,10224,Sükter,THEend,"[""THEend""]",9,0,8
bhr,10246,Olympus,Alex,"[""Alex""]",12,2,7
bhr,10253,InterAmnia,mR..A,"[""mR..A""]",15,0,8
bhr,10309,Toronto,Ness,"[""Ness"", ""Alex"", ""Armator""]",15,3,9
bhr,10389,Dark Matter,max007x,"[""max007x""]",16,0,6
bhr,10395,The Fire Thief,codrey,"[""codrey""]",7,0,3
bhr,10415,Rübell,THEend,"[""THEend""]",9,1,8
bhr,10473,Planktopia,zwinx,"[""zwinx""]",12,0,6
bhr,10502,The Mage's Lair,codrey,"[""codrey""]",18,0,14
bhr,10513,Empire Falls,mR..A,"[""mR..A""]",14,0,13
bhr,10522,Pipeline (RC4R2),Cypress,"[""Cypress""]",18,1,11
bhr,10532,Adventure,Pancakes,"[""Pancakes""]",12,0,8
bhr,10673,Metro,THEend,"[""THEend""]",11,1,9
bhr,10774,MAN and MACHINE,mR..A,"[""mR..A""]",17,2,12
bhr,10817,Lets Explore,wyattstonhouse,"[""wyattstonhouse""]",16,1,12
bhr,10870,Zen Garden,codrey,"[""codrey""]",8,0,3
bhr,10944,Voyager ft. Ness,max007x,"[""max007x""]",9,0,0
bhr,10948,yams,Cypress,"[""Cypress""]",14,0,1
bhr,11063,Rotate III,Backtwice,"[""Backtwice""]",35,4,35
bhr,11130,Valdez,Cypress,"[""Cypress""]",7,0,0
bhr,11226,Omen,Maple,"[""Maple""]",24,0,15
bhr,11332,Futile (BHR Version),TheSouthAmericanGuy,"[""TheSouthAmericanGuy""]",18,1,16
bhr,11379,Adventure of a lifetime,codrey,"[""codrey""]",10,0,10
bhr,11423,Piper Alpha,zwinx,"[""zwinx""]",18,0,15
bhr,11426,Candle In The Wind,spruce,"[""spruce""]",11,4,6
bhr,11441,triAIDSgle contest,Cypress,"[""Cypress""]",6,0,0
bhr,11520,Low Point,Cypress,"[""Cypress""]",18,0,13
bhr,11597,Newport (ft. mR..A),Alex,"[""Alex""]",11,5,1
bhr,11654,Chromium ft. zwinxz,cky199,"[""cky199""]",16,1,10
bhr,11700,The Second Empire ft. Stig,mR..A,"[""mR..A""]",10,1,4
bhr,11711,Crumble,Cypress,"[""Cypress""]",29,9,21
bhr,11921,The Underground Factory,nin10dorox,"[""nin10dorox""]",14,0,8
bhr,12014,Prime Realestate,mudkip,"[""mudkip""]",9,3,2
bhr,12017,ÐœÐ¾ÑÐºÐ²Ð°,Cypress,"[""Cypress""]",9,1,0
bhr,12078,Jason and the Argonauts,titouan,"[""titouan""]",23,1,12
bhr,12169,Dragonslayer,Maple,"[""Maple""]",18,0,9
bhr,12173,it me,mudkip,"[""mudkip""]",7,0,2
bhr,12223,RC5PR,mudkip,"[""mudkip""]",9,1,2
bhr,12271,Magnus,mR..A,"[""mR..A""]",17,0,9
bhr,12285,Cilant Lîs,THEend,"[""THEend""]",12,1,9
bhr,12360,Calvin and Hobbes,spruce,"[""spruce""]",17,0,15
bhr,12485,Archive XVIII,Dirt Monkie,"[""Dirt Monkie""]",17,0,8
bhr,12638,Decades (OCE),Pancakes,"[""Pancakes""]",14,0,7
bhr,12702,The Park,Pancakes,"[""Pancakes""]",10,0,8
bhr,12783,PR Hwy 163,Cypress,"[""Cypress""]",8,0,4
bhr,12785,Is This Real Life?,mR..A,"[""mR..A""]",17,0,7
bhr,12789,Studio apt.,Cypress,"[""Cypress""]",11,0,1
bhr,12859,woodland ride ft. Wave,Chalk,"[""Chalk""]",15,1,7
bhr,12867,Ataraxy,codrey,"[""codrey""]",12,0,4
bhr,12904,BHR Ghosting Collab '16 - '17,Cypress,"[""Cypress""]",11,1,6
bhr,12938,Fantasy,DblU,"[""DblU""]",2,0,1
bhr,12965,Adventure II,Pancakes,"[""Pancakes""]",9,1,5
bhr,12978,lemmegetuhhhh,Cypress,"[""Cypress""]",1,0,0
bhr,12980,Air Force One,DblU,"[""DblU""]",7,0,2
bhr,13041,guangdongshengguangzhoushi,Cypress,"[""Cypress""]",6,2,0
bhr,13090,chaos,Cypress,"[""Cypress""]",3,0,1
bhr,13157,Vainishing NTBF feat. MikeWi,DblU,"[""DblU""]",7,0,7
bhr,13554,Vulcan,Maple,"[""Maple""]",5,0,2
bhr,13555,sfsfsgdfj,Maple,"[""Maple""]",9,0,2
bhr,13626,taure,zwinx,"[""zwinx""]",2,0,0
