type,id,name,username,authors,upvotes,downvotes,favorites,published,size,plays,description
frhd,153182,Jotunheim,Stig,"[""Stig""]",193,52,0,2015-06-09,487518,28.5k,"A mountain chain in Norway. It is believed to be the place where trolls and mythical creatures exist, by norse beliefs. (My entry for the Aesthetics (or Art) Contest)"
frhd,153339,Vacant,deadrising2,"[""deadrising2""]",276,50,0,2015-06-09,4376691,37.8k,"Summer of Hate 1, I'm sorry but you hurt me so much and I just want you to come back. I'm so alone right now."
frhd,153371,Shadowland,Crypt,"[""Crypt""]",1.5k,302,0,2015-06-09,4992675,105.9k,"Detail by me, wheelie by swaggabot. Just can't finish it."
frhd,154442,talk back home,nasrani,"[""nasrani""]",118,23,0,2015-06-13,262805,16.2k,funnnn
frhd,155666,blue trashcan,pssst,"[""pssst""]",127,87,0,2015-06-19,342966,26.2k,collab with mmi
frhd,155909,Kykotsmovi Mesa,CityShep,"[""CityShep""]",190,49,0,2015-06-20,374593,19.2k,"Sorry 'bout my little absence. My grandmother died and I've been missing her dearly for a while now. Anyways, Here's a thing. It's a little challenging, but I think it's the track that has finally allowed me to find my style. I did a lot of experimenting on this, and I think I'll stick with the styl"
frhd,null,null,null,[null],0,0,0,2015-06-23,31102,0,
frhd,157161,snope,nasrani,"[""nasrani""]",138,24,0,2015-06-27,288808,17.4k,no one is here
frhd,158140,Wild One Express,Ness,"[""Ness""]",220,61,0,2015-07-04,81787,49.5k,the train track
frhd,158501,Descent: Hysteria,deadrising2,"[""deadrising2""]",395,99,0,2015-07-06,4725094,61.4k,"Directly after the secondary proceedings you've escaped, into more complex. Is what's occurring really this messed up or is everything in your mind. Save the complex and maybe the complex will save you. No more time for descending into madness."
frhd,161621,Nā Pali (Wheelie Challenge),CityShep,"[""CityShep""]",76,21,0,2015-07-31,96247,13.4k,"I made this for my buddy Backtwice to make a wheelie ghost on over on BHR! You can totally ride it with MTB if you'd like, too!"
frhd,161980,Super Mario Bros. 2,Stig,"[""Stig""]",830,179,0,2015-08-02,934899,143.1k,-PLAY IN FULLSCREEN- Welcome to the new and improved world 2 of my Super Mario Bros. series!
frhd,162148,Ambition: 1 the Backyard,max007x,"[""max007x""]",221,36,0,2015-08-03,41950,38.4k,The first track of my bmx campaign. Time to try your new bike in that backyard track that you made. Try to get the fastest time!
frhd,163592,Hopes and Dreams,WheelieMaker,"[""WheelieMaker""]",115,36,0,2015-08-13,346545,16.0k,"collab with Ness, EasternBiker, and max007x."
frhd,163774,Ambition: 2 the Farm,max007x,"[""max007x""]",127,33,0,2015-08-14,55794,21.3k,After improving your skills for a while in the backyard it's time to try something a bit more difficult. A friend of you lives on a farm with a track behind it where you can race. Try to get the fastest time and improve your BMX skills!
frhd,164323,Calamity,Maple,"[""Maple""]",573,89,0,2015-08-18,1418706,80.5k,"Within the Eye of the Storm. Heaven-shaking, earth-splitting, helI-forming calamity."
frhd,166501,The Underground Factory,Polygon,"[""Polygon""]",137,21,0,2015-08-30,36329,17.8k,"I've been working on this for a few months, and I think it is high time to just upload it. It was inspired by ""Contest Entry"" By Wolfram and ""The Vapaa Factory"" by Vapaa. I did get kind of lazy with the detail, but I am not good enough at making tracks to make it much better. Hope you like it!"
frhd,166510,Chaos Geodes,Maple,"[""Maple""]",115,34,0,2015-08-31,52546,20.4k,Made this just for fun. Track remix of Omega 2078 by Ness.
frhd,167075,A Trip to the Woods,max007x,"[""max007x""]",300,59,0,2015-09-02,547595,62.6k,Don't take food from strangers...
frhd,173968,Haven ft. CityShep,mR..A,"[""mR..A""]",231,71,0,2015-09-28,783237,43.8k,"Here it is finally. CityShep is responsible for the awesome ground detail, I did track, trees and background. Enjoy!"
frhd,175378,Unconquered Isles,Volund,"[""Volund""]",195,17,0,2015-10-02,168141,23.0k,"Unfortunately haven't been able to work on this at all in a while, so I figured I'd just upload it and get it off my chest.  Welcome to the Unconquered Isles, a place that no man has explored before- or so you thought. Enjoy!"
frhd,185273,Havik,CityShep,"[""CityShep""]",69,24,0,2015-10-27,34466,12.2k,Tried some new things and I like some of it!
frhd,188202,Experiment Escape,Rey827,"[""Rey827""]",632,138,0,2015-11-01,173757,77.0k,"After 5 months of on and off work, I give you my first track! You find yourself captured in a space ship being experimented on.  Somehow gaining consciousness, you must now escape. This isn't some hold forward track.  This is more like an obstacle course."
frhd,190586,heli in trap city,pssst,"[""pssst""]",56,30,0,2015-11-06,63371,12.4k,jroles was recently stripped of his ability to make and post tracks as well as other priveledges. If you have a forum account please contact Char on the forums at http://community.freeriderhd.com/conversations/add?to=Char so this situation can be resolved. Thank you. Feat. alexander #freejroles
frhd,191253,Magnum Opus,max007x,"[""max007x""]",539,91,0,2015-11-07,1198000,65.4k,A kingdom once ruled by a mad king. He and his men all disappeared now and it's up to you to claim the throne.
frhd,193247,trap islands,pssst,"[""pssst""]",80,30,0,2015-11-11,175189,12.8k,aka floating islands aka #freejroles2 aka chopper limbo feat. alex  alex x pssst aka the wright brothers shoutout to my homies eli and maple for incoming excuses not to feature this
frhd,199850,Subharmonic (redux),alexander,"[""alexander""]",262,95,0,2015-11-24,483568,41.7k,Re-imagined.
frhd,201196,Tetris,pssst,"[""pssst""]",103,35,0,2015-11-28,23532,14.5k,Entry for the video game campaign contest Shoutout to ness for teaching me everything I know. Shoutout to stig and eli for incoming reasons not to feature this. Shoutout to my dude char for the helicopter powerup.
frhd,201832,Ambition: 3 the Hills,max007x,"[""max007x""]",154,33,0,2015-11-29,135763,22.9k,It's early in the morning and that means another nice chance to improve on your riding skills. This time you are racing your friends on a course they built in the local hills. Try to find the fastest route through this course!
frhd,205038,Char Portrait,alexander,"[""alexander""]",390,45,0,2015-12-06,32548,98.1k,Made in 1 hour for the 1 hour contest.
frhd,208444,Mews Forest 3,deadrising2,"[""deadrising2""]",285,57,0,2015-12-13,1508662,34.6k,"Free. Free the forest, help mewtwo save the day. Collab with jefe"
frhd,208501,Escape Communist Utah,StevenLeary,"[""StevenLeary""]",849,132,0,2015-12-13,484046,87.8k,"Death points the way out through the Communist Temple & through there locked caverns & fire landings. Lucky the Helicopter is there as planed. We pass Hisler, but the worst is still to come including the under water Expedition and the Rebirth into the New Land.  So, What Does FREEDOM Mean To You ?"
frhd,208947,Carvahall,Volund,"[""Volund""]",117,26,0,2015-12-14,38197,16.2k,"Inspired by Eragon's home town, Carvahall. Remix Contest 4- Practice Round"
frhd,212588,Sükter,THEend,"[""THEend""]",104,22,0,2015-12-21,124481,15.4k,"Made for the 4th Remix Contest, have some fun!"
frhd,213330,Phenomenon,Ishu,"[""Ishu""]",87,18,0,2015-12-23,168874,14.0k,shoutout to essboomer; for the nature competition. shoutout to wheeliemaker; I think I'm the most improved author. shoutout to the rest of the featured tracks moderators; please consider a feature.
frhd,213610,Olympus,alexander,"[""alexander""]",137,35,0,2015-12-23,253099,19.2k,Join pssst's Remix Contest 4! http://community.freeriderhd.com/threads/remix-contest-4-join-now.4266/
frhd,213954,InterAmnia,mR..A,"[""mR..A""]",142,22,0,2015-12-24,94293,20.3k,"Welcome to the third edition to my Space Series, work your way down the falling asteroids then through the tricky space stations to finish. Enjoy!"
frhd,214318,TESTPATTERN001 ntbf,octo,"[""octo""]",212,49,0,2015-12-26,63006,22.3k,"RC4 practice round - not finished due to lack of time and motivation merry christmas, more to come"
frhd,215398,Toronto,Ness,"[""Ness""]",124,49,0,2015-12-31,60887,14.4k,"ft. Ness, Alex, and Armator"
frhd,217107,Dark Matter,max007x,"[""max007x""]",185,36,0,2016-01-06,155254,29.7k,"Welcome my son, welcome to the machine Remix contest 4 round 1, remix of Glorious by Plastic"
frhd,217273,The Fire Thief,Volund,"[""Volund""]",111,24,0,2016-01-07,87222,15.2k,"Before the Fire Thief. During the Fire Thief. After the Fire Thief. This is the story of Prometheus, Titan of Zeus and benefactor of Humanity. RC4R1"
frhd,217687,Citadel,GMSkittles,"[""GMSkittles""]",363,42,0,2016-01-08,79776,48.3k,A track made for the first round of Remix Contest 4. Enjoy!
frhd,218006,Sunset,pinn,"[""pinn""]",209,29,0,2016-01-09,209851,30.5k,RC4 round 1 entry.
frhd,218023,Rübell,THEend,"[""THEend""]",147,33,0,2016-01-09,541083,25.7k,"Made for Pssst's Remix Contest 4, Round 1. Based on the game Child of Light, where you explore the world of Lemuria."
frhd,218030,GLORIOUS V2,alexander,"[""alexander""]",85,21,0,2016-01-09,115539,13.6k,NOOOOOO TIIIMMMEEEEEEEEE
frhd,221171,Planktopia,zwinxz,"[""zwinxz""]",119,35,0,2016-01-17,107497,17.0k,Entry for pssst's remix contest round 2. Enjoy
frhd,222275,Abyss,max007x,"[""max007x""]",175,40,0,2016-01-20,149648,28.8k,Now she walks through her sunken dream...
frhd,222413,The Mages Lair,Volund,"[""Volund""]",232,35,0,2016-01-21,174093,27.5k,"Deep beneath the Earth, you are studying the intricacies of magic when you realize you are short of a much needed ingredient. To reach it, you must make your way above ground and find the much needed ingredient in the forest. RC4R2."
frhd,222818,Alien - Exudation,deadrising2,"[""deadrising2""]",209,58,0,2016-01-21,303056,31.1k,"Escape alien friend. you are upside down, traveling through your spaceship on verge of exploding. Remix r2 Complete to unlock the second playthrough!"
frhd,223005,Empire Falls,mR..A,"[""mR..A""]",408,66,0,2016-01-22,1996254,51.7k,"My entry for round 2 of the remix contest, finally managed to upload.. enjoy and let me know what you think."
frhd,223397,Pipeline (RC4R2),CityShep,"[""CityShep""]",289,64,0,2016-01-23,462209,50.7k,"Remix Contest 4, round two! Enjoy."
frhd,223399,temple,alexander,"[""alexander""]",114,38,0,2016-01-23,318587,16.5k,remix contest r2
frhd,223859,Adventure,Pancakes345,"[""Pancakes345""]",125,39,0,2016-01-24,101904,20.9k,Finally out! Enjoy :)
frhd,226958,Ed Gein the real Leatherface,StevenLeary,"[""StevenLeary""]",382,63,0,2016-01-31,1130455,33.4k,A sick and demented ride through the morbid world of serial killer  EDWARD GEIN.  This ain't no joke.
frhd,228974,CΔNON (unfin),Stig,"[""Stig""]",295,84,0,2016-02-05,272939,35.8k,not going to continue this
frhd,229015,Martian,spruce,"[""spruce""]",176,52,0,2016-02-05,518762,25.3k,5 years ago in the year 2020 a distant planet was founded with earth-like compounds among it. A one man ship was sent up to keep track of it in case any harm had come to it. Now he has become quite lonely up in space and has become a seldom rocketman wishing to return home. Remix Round 3 Entry.
frhd,229102,Double Compound,Nitrogeneric,"[""Nitrogeneric""]",114,22,0,2016-02-05,118393,15.4k,"Some inspiration from Plasticorp 4 by Ness, and here's what I got for my entry for pssst's Remix Contest 4 Round 3. 30 minutes for ghosting this isn't a problem, even though I broke the keyboard. For the first time I actually feel proud of myself doing a map :D And also... bye pssst :("
frhd,229644,Metro,THEend,"[""THEend""]",163,21,0,2016-02-06,417969,19.3k,Welcome to the Apocalypse. Made for the Remix Contest 4.
frhd,233193,Ultra Light Beam,alexander,"[""alexander""]",100,40,0,2016-02-15,286162,16.2k,we on an ultra light beam
frhd,236426,City of Dreams,alexander,"[""alexander""]",116,30,0,2016-02-23,138276,16.3k,Very old track circa 2012. It was fun to revisit it and I decided to upload it for nostalgia's sake
frhd,236444,ENCIKLOPEDIA (read desc),KONSTRUKT,"[""KONSTRUKT""]",545,126,0,2016-02-23,605886,60.1k,"It's been a year since i first played FRHD, so i wanted to make a special track for you guys, i had no idea what kind of track i should do, so i decided to make a mix of some famous kinds of tracks that are uploaded. A special thanks for RuanF, he helped me a lot for the ""hidden"" section. Enjoy ! :)"
frhd,238722,MAN and MACHINE,mR..A,"[""mR..A""]",336,67,0,2016-02-27,1726467,41.6k,Travel freely through a 350 year time span to witness the changes and achievements of man and machine on Earth.
frhd,239062,Voyager ft. Ness,max007x,"[""max007x""]",174,34,0,2016-02-28,67120,22.2k,"Houston, we have a problem..."
frhd,239108,CO³,pssst,"[""pssst""]",245,114,0,2016-02-29,196636,39.8k,mmi and pssst..... and wm who made 1% of the track.
frhd,243349,Mangystau (ft. darksmoke11),CityShep,"[""CityShep""]",219,50,0,2016-03-09,235701,17.6k,Brush auto collab with Dark Smoke! He did the auto and I did the detail. Enjoy!
frhd,244760,Lets Explore,WyattStonhouse,"[""WyattStonhouse""]",3.0k,159,0,2016-03-11,7865831,203.1k,What are you waiting for? There is much to see. A rate and comment would be great! Have fun :)
frhd,245370,Zen Garden,Volund,"[""Volund""]",193,30,0,2016-03-13,78497,25.5k,Find your Zen among the leaves. FS T3
frhd,250542,yams,CityShep,"[""CityShep""]",67,43,0,2016-03-24,31126,6.8k,inb4 this breaks the downvote world record
frhd,254429,Universe III,Cataclysm,"[""Cataclysm""]",922,79,0,2016-04-04,1993933,72.2k,"This track is best viewed with inversed colors. On Macs, press COMMAND+SHIFT+8. On windows, press CTRL+ESC, press R, type ""magnify"" and press ENTER. Enjoy!"
frhd,258562,Years of gaming,Alehsandro,"[""Alehsandro""]",354,71,0,2016-04-14,1104127,37.9k,"Enjoy your games!  '' Gamers don't die,they respawn ''"
frhd,259634,Rotate III,Backtwice,"[""Backtwice""]",452,57,0,2016-04-16,762787,41.7k,"8 months of work. All detail by CityShep. Track by me, except for the tight cave tunnel by F1N and the outlines of the other caves by Jefe. Maddest props to CityShep for doing the detail, can't put the appreciation in words. The track is 100% possible."
frhd,263698,Last Resort,spruce,"[""spruce""]",268,33,0,2016-04-27,1342868,26.2k,"A Free Rider HD Contest Entry, Enjoy a relaxing ride through the area with no worries. Thank you for your support. :)"
frhd,264262,Valdez,CityShep,"[""CityShep""]",146,30,0,2016-04-28,53180,15.4k,Didn't feel like meeting the neatness standard that's been set so I just sketched this out as though I would on paper. Just a fun little thing I made in a little under an hour
frhd,268467,Darkest Hours,max007x,"[""max007x""]",467,52,0,2016-05-08,215611,68.6k,"Project ""Cancelled"""
frhd,271451,tullamore glen,Ishu,"[""Ishu""]",118,22,0,2016-05-14,371151,13.5k,try to have fun
frhd,273754,Omen,Maple,"[""Maple""]",797,103,0,2016-05-20,2023813,62.2k,force of nature
frhd,275122,Fish Bowl,max007x,"[""max007x""]",277,48,0,2016-05-23,328670,37.0k,Tumble down this fractured fantasy world.  A Free Rider HD Contest Entry
frhd,278291,△dventure of △ lifetime,Volund,"[""Volund""]",349,44,0,2016-05-31,799438,36.9k,"This is it. Your adventure. Plug in some music, relax and explore the forest around your cabin! This is a Free Rider HD Official Contest Entry by Volund"
frhd,278439,Piper Alpha,zwinxz,"[""zwinxz""]",231,44,0,2016-05-31,717886,22.6k,An official contest entry! This will be my last track. Have a nice life. See ya buddies!
frhd,278593,Futile,TheSouthAmericanGuy,"[""TheSouthAmericanGuy""]",238,54,0,2016-06-01,211041,18.2k,"The biggest waste of time on Free Rider HD. I should have been studying for a social test that I have tomorrow. Instead I worked my buttt off on this garbage. If you want, you can waste YOUR time, too, and try to beat this track! :) :) :)  Please kill me now. A Free Rider HD Official Contest Entry"
frhd,278621,Everything Under the Sun [OCE],mudkip,"[""mudkip""]",237,44,0,2016-06-01,1353155,16.7k,"A FRHD Contest Entry. Wow, it's satisfying to finally publish it... I just can't finish it in time, though. Anyway, enjoy it, I made sure it's not too easy ;)"
frhd,278698,Exalted,THEend,"[""THEend""]",237,40,0,2016-06-01,1340727,26.8k,"Harnessing a great wellspring, a perfect immortal cell was crafted to be imbued with all sentient life. A Free Rider HD Contest Entry. (slightly unfinished)"
